Product ID,ISBN,eISBN,Title,Author,Publisher,Publication Year,Language,LCC,LC Subject Heading,BISAC,DDC,Downloadable
515720,9788779345294,9788779347540,Religion,"Sørensen, Jesper-Hammer, Olav.",Aarhus University Press,2010,dan,BD215 .S663 2010eb,"Belief and doubt.,Religion.",PHILOSOPHY / Epistemology,121/.6,Y
515586,9788779345133,9788779342057,Property and Virginity,Agnes S. Arnórsdóttir.,Aarhus University Press,2010,eng,HQ643 .A36 2010,"Marital property--Iceland--History.,Marriage (Canon law),Marriage customs and rites, Medieval--Iceland.,Marriage--Iceland--History.,Marriage--Religious aspects--Christianity.",SOCIAL SCIENCE / Sociology / Marriage & Family,306.8,Y
515721,9788779344259,9788779346567,"Religion, Politics, and Law","Lodberg, Peter.",Aarhus University Press,2009,eng,BL65.P7 R44 2009,"Democracy--Religious aspects.,Globalization.,Religion and law.,Religion and politics.,Religion and sociology.,Social change.",RELIGION / Reference,200,Y
515692,9788779344914,9788779347458,Alexandria,"Krasilnikoff, Jens A.-Hinge, George.",Aarhus University Press,2009,eng,DT154.A4 A449 2009,,HISTORY / Middle East / Egypt,962,Y
515644,9788779344273,9788779346581,The Discursive Fight Over Religious Texts in Antiquity,"Jacobsen, Anders-Christian.",Aarhus University Press,2009,eng,BS1135 .D57 2009,"Christianity and other religions--Judaism.,Christianity and other religions--Roman.,Church history--Primitive and early church, ca. 30-600.",RELIGION / Christian Theology / Ethics,241.2,Y
515594,9788779344266,9788771242522,Receptions and Transformations of the Bible,"Nielsen, Kirsten",Aarhus University Press,2009,eng,BS538.3 .R43 2009,,BIBLES / General,220.09,Y
515433,9788779342538,9788779346642,Aspects of Ancient Greek Cult,"Jensen, Jesper Tae.",Aarhus University Press,2009,eng,DF122 .A87 2009,"Cults--Greece--History--Congresses.,Idols and images--Greece--History--Congresses.,Music--Religious aspects--Congresses.",RELIGION / Antiquities & Archaeology,292.37,Y
515715,9788779342941,9788779346819,New Religions and Globalization,"Warburg, Margit.-Geertz, Armin W.-Christensen, Dorthe Refslund.",Aarhus University Press,2008,eng,BL65.G55 N48 2008eb,"Cults--Congresses.,Globalization--Religious aspects--Congresses.,Sects--Congresses.",SOCIAL SCIENCE / Sociology of Religion,306.6,Y
515639,9788779344129,9788779347717,Taking Leave of Abraham,"Nørager, Troels.",Aarhus University Press,2008,eng,BL65.P7 N66 2008eb (Online),"Abrahamic religions.,Democracy--Religious aspects.,Political science--Philosophy.,Religion and politics.,Religion--Philosophy.","RELIGION / Religion, Politics & State",201/.72;306.6,Y
515635,9788779343900,9788779349919,Students of the Bible in 4th and 5th Century Syria,"Lehmann, Henning.",Aarhus University Press,2008,eng,BS586.S95L45 2008,,RELIGION / Biblical Reference / Handbooks,220.0939/43,Y
515567,9788772889696,9788779340077,N.F.S. Grundtvig,"Grundtvig, N. F. S.-Bradley, S. A. J.",Aarhus University Press,2008,eng,BX8080.G76 N16 2008eb,"Clergy--Denmark--Biography.,Lutheran Church--Clergy--Biography.",RELIGION / Christianity / Lutheran,284.1/092,Y
515513,9788779342002,9788779349612,Instruments of Devotion,"Laugerud, Henning.-Skinnebach, Laura Katrine.",Aarhus University Press,2007,eng,BX2295,"Devotional objects--Catholic Church.,Spiritual life--Christianity--History of doctrines--Middle Ages, 600-1500.,Worship--History.",RELIGION / Christian Life / General,240.9,Y
515694,9788779341098,9788779348943,Baha'i and Globalisation,"Warmind, Morten.-Hvithamar, Annika.-Warburg, Margit.",Aarhus University Press,2005,eng,BP388.I58 B35 2005eb,"Bahai Faith and world politics.,Bahai Faith.",RELIGION / Baha'i,297.9/317,Y
182491,9780275973612,9780313075254,The Lopsided Spread of Christianity,"Montgomery, Robert L.",ABC-CLIO,2002,eng,BV2063 .M627 2002eb,"Christian sociology--History.,Missions--History.",RELIGION / Christian Church / History,270,Y
182484,9780313312861,9780313074257,Gods of Our Fathers,"Gabriel, Richard A.",ABC-CLIO,2002,eng,BL2443 .G23 2002eb,"Christianity--Origin.,Judaism--Origin.",RELIGION / Comparative Religion,299/.31,Y
86669,9780275974930,9780313010866,Reading Genesis Politically,"Sicker, Martin.",ABC-CLIO,2002,eng,BM645.P64 S548 2002eb,"Ethics, Jewish.,Judaism and politics.,Man (Jewish theology),Politics in the Bible.",RELIGION / Biblical Studies / Old Testament,222/.1106,Y
86618,9780275976101,9780313010927,Christianity and Womanhood,"Rogers, Wyatt M.",ABC-CLIO,2002,eng,BV639.W7 R583 2002eb,Women in Christianity--History.,RELIGION / Christian Church / History,270/.082,Y
182488,9780275972141,9780313075421,Proclaiming Political Pluralism,"Phiri, Isaac",ABC-CLIO,2001,eng,BR1430 .P47 2001eb,"Christianity and politics--Africa, Sub-Saharan--History--20th century.,Church and state--Africa, Sub-Saharan--History--20th century.",RELIGION / Christianity / General,261.7/0968,Y
182481,9780275972578,9780313075759,The Political Culture of Judaism,"Sicker, Martin.",ABC-CLIO,2001,eng,BM645.P64 S547 2001eb,"Jewish ethics.,Judaism and politics.",RELIGION / Judaism / Theology,296.3/82,Y
182467,9780275971373,9780313075346,Biblical Religion and Family Values,"Newman, Jay",ABC-CLIO,2001,eng,BS680.F3 N48 2001eb,"Families--Biblical teaching.,Sociology, Biblical.",RELIGION / Christianity / General,261.8/3585,Y
