Title,Publisher,Imprint,Publication Year,Editor/ Author,ISBN,Awards,Subject,Description,USD List Price,Single-User Restriction,Title Phase,Predicted Release Quarter,Multi-Site Sales Restricted,Geographic Sales Regions,Corp URL,Edition ID#
A Biblical-Theological Introduction to the New Testament: The Gospel Realized,Crossway,Crossway,2016,"Editor: Van Pelt, Miles V.",978-1-4335-3676-2,,Religion & Theology - Christianity,"Featuring contributions from respected evangelical scholars, this title introduces each New Testament book in the context of the whole canon of Scripture, helping anyone who teaches or studies the Bible to apply it to the church today.",$75 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12245,12245
A Biblical-Theological Introduction to the Old Testament: The Gospel Promised,Crossway,Crossway,2016,"Editor: Van Pelt, Miles V.",978-1-4335-3346-4,,Religion & Theology - Christianity,"Covering each book in the Old Testament, this title invites readers to teach the Bible from a Reformed, covenantal, and redemptive-historical perspective. Featuring contributions from twelve respected evangelical scholars, this gospel-centered introduction to the Old Testament will help anyone who teaches or studies Scripture.",$75 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12244,12244
A Complete Handbook of Literary Forms in the Bible,Crossway,Crossway,2014,"Ryken, Leland",978-1-4335-4114-8,,Religion & Theology - Christianity,"Whether examining genre, motifs, figures of speech, archetypes, or rhetorical devices, this accessible handbook features more than 250 alphabetically arranged entries highlighting common literary terms related to the Bible.",$30 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/9857,9857
A Family Guide to the Bible,Crossway,Crossway,2009,"Ditchfield, Christin",978-1-58-134891-0,,Religion & Theology - Christianity,"A Family Guide to the Bible takes readers on a fun and exciting tour through all sixty-six books of the Bible and offers parents, grandparents, and teachers a better understanding of the Scriptures so they can help the children in their lives know what is in the Bible, where to find it, and how it all fits together.",$39 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7961,7961
Blackwell Guides to Global Christianity: A New History of Christianity in China,Wiley,Wiley,2011,"Bays, Daniel H.",978-1-4051-5954-8,Rated Essential by Choice,Religion & Theology - Christianity,"A New History of Christianity in China, written by one of the world's the leading writers on Christianity in China, looks at Christianity's long history in China, its extraordinarily rapid rise in the last half of the twentieth century, and charts its future direction. Provides the first comprehensive history of Christianity in China, an important, understudied area in both Asian studies and religious history. Traces the transformation of Christianity from an imported, Western religion to a thoroughly Chinese religion. Contextualizes the growth of Christianity in China within national and local politics. Offers a portrait of the complex religious scene in China today. Contrasts China with other non-Western societies where Christianity is surging.",$154 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/5018,5018
"An Introduction to the Old Testament: Exploring Text, Approaches & Issues",InterVarsity Press,InterVarsity Press,2015,"Goldingay, John",978-0-8308-4090-8,Christian Retailing's Best - Bible Reference,Religion & Theology - Christianity,"More workbook than handbook, this introduction to the Old Testament is rooted in decades of tried and proven teaching. Goldingay displays a robust confidence in the truthfulness of Scripture combined with a refreshing trust in the reader's ability to grapple responsibly with the Old Testament.",$60 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11143,11143
Lives of Great Religious Books: Augustine's Confessions: A Biography,Princeton University Press,Princeton University Press,2011,"Wills, Gary",978-0-691-14357-6,RCL recipient,Religion & Theology - Christianity,"In this brief and incisive book, Pulitzer Prize-winning historian Garry Wills tells the story of the Confessions--what motivated Augustine to dictate it, how it asks to be read, and the many ways it has been misread in the one-and-a-half millennia since it was composed.",$56 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/3424,3424
Baker Illustrated Bible Commentary,Baker Publishing Group,Baker Publishing Group,2012,"Burge, Gary M. and Hill andrew E.",978-0-80-101308-9,RCL recipient,Religion & Theology - Christianity,"The Baker Illustrated Bible Commentary is a nontechnical, section-by-section commentary on the whole Bible that provides reliable and readable interpretations of the Scriptures from leading evangelical scholars.",$40 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7371,7371
Baker Illustrated Bible Handbook,Baker Publishing Group,Baker Publishing Group,2011,"Duvall, J. Scott and Hays, J. Daniel",978-0-80-101296-9,Christian Retailing's Best - Bible Reference,Religion & Theology - Christianity,"The Baker Illustrated Bible Handbook offers the most up-to-date evangelical biblical scholarship in a format that is colorful, informative, and easy to understand.",$40 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7372,7372
Greenwood Guides to Science and Religion: Catholicism and Science,ABC-CLIO,Greenwood,2008,"Hess, Peter M. J. and Allen, Paul L.",978-0-31333-190-9,,Religion & Theology - Christianity,Essays which cover the complex interaction of science and the Catholic Church from the beginnings of the church until the present day.,$108 ,FALSE,Live,,Sales to Multi-Site Not Permitted,No Restrictions,corp.credoreference.com/component/booktracker/edition/3288,3288
Christian Theology,Baker Publishing Group,Baker Publishing Group,2013,"Erickson, Millard J.",978-0-8010-3643-9,,Religion & Theology - Christianity,"Leading evangelical scholar Millard Erickson offers a new edition of his bestselling textbook, now substantially updated and revised throughout. This edition takes into account feedback from professors and students and reflects current theological conversations, with added material on the atonement, justification, and divine foreknowledge.",$50 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10528,10528
Blackwell Guides to Global Christianity: Christianities in Asia,Wiley,Wiley,2010,"Phan, Peter C.",978-1-4051-6089-6,OAT and RCL recipient,Religion & Theology - Christianity,"Christianity in Asia explores the history, development, and current state of Christianity across the worldâ€™s largest and most populous continent. - Offers detailed coverage of the growth of Christianity within South Asia; among the thousands of islands comprising Southeast Asia; and across countries whose Christian origins were historically linked, including Vietnam, Thailand, China, Hong Kong, Taiwan, Japan, and Korea - Brings together a truly international team of contributors, many of whom are natives of the countries they are writing about - Considers the Middle Eastern countries whose Christian roots are deepest, yet have turbulent histories and uncertain futures - Explores the ways in which Christians in Asian countries have received and transformed Christianity into their local or indigenous religion - Shows Christianity to be a vibrant contemporary movement in many Asian countries, despite its comparatively minority status in these regions",$165 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4704,4704
Christianity in Sub-Saharan Africa,Edinburgh University Press,Edinburgh University Press,2017,"Editors: Ross, Kenneth, Asamoah-",978-1-4744-1203-2,,Religion & Theology - Christianity,"This comprehensive reference volume covers every country in Sub-Saharan Africa, offering reliable demographic information and original interpretative essays by indigenous scholars and practitioners. It maps patterns of growth and decline, assesses major traditions and movements, analyses key themes and examines current trends.",$281 ,FALSE,Production,2018 Q1,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12073,12073
Ancient Christian Texts: Commentaries on Galatians--Philemon,InterVarsity Press,InterVarsity Press,2009,"Editor: Ambrosiaster and Bray, Gerald L.",978-0-8308-2904-0,,Religion & Theology - Christianity,"This is the second of two volumes that will offer a first English translation of the anonymous fourth-century commentary on the thirteen letters of Paul. Widely viewed as one of the finest pre-Reformation commentaries on the Pauline Epistles, this commentary, until the time of Erasmus, was attributed to Ambrose. The name Ambrosiaster (""Star of Ambrose"") seems to hav been given to the anonymous author of the work by its Benedictine editors (1686- 1690).",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7771,7771
Ancient Christian Texts: Commentaries on Genesis 1-3,InterVarsity Press,InterVarsity Press,2010,Editors: Severian of Gabala and Bede the Venerable,978-0-8308-2907-1,Doody's Core Title; RCL Recipient,Religion & Theology - Christianity,"The church fathers displayed considerable interest in the early chapters of Genesis, and often wrote detailed commentaries or preached series of homilies on the Hexameron--the Six Days of Creation. This volume of Ancient Christian Texts offers a first-time English translation of Severian of Gabala's In cosmogoniam and a fresh translation of a portion of Bede the Venerable's Libri quatuor in principium Genesis.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8127,8127
Ancient Christian Texts: Commentaries on Romans and 1-2 Corinthians,InterVarsity Press,InterVarsity Press,2009,Editor: Ambrosiaster,978-0-8308-2903-3,,Religion & Theology - Christianity,"This Ancient Christian Texts volume, translated and edited by Gerald L. Bray, is the first of two that will offer a first English translation of the anonymous fourth-century commentary on the thirteen letters of Paul. Widely viewed as one of the finest pre-Reformation commentaries on the Pauline Epistles, this commentary, until the time of Erasmus, was attributed to Ambrose. The name Ambrosiaster (""Star of Ambrose"") seems to have been given to the anonymous author of the work by its Benedictine editors (1686- 1690).",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8128,8128
Ancient Christian Texts: Commentaries on the Twelve Prophets: Volume 1,InterVarsity Press,InterVarsity Press,2016,"Editor: Scheck, Thomas P.",978-0-8308-2916-3,,Religion & Theology - Christianity,"This Ancient Christian Texts volume, edited and translated by Thomas Scheck in collaboration with classics students from Ave Maria University, includes these seven commentaries. Chapters cover Jerome's commentaries on Zechariah, Malachi, Hosea, Joel and Amos, all of which were written in 406, completing the group of twelve prophets.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11498,11498
Ancient Christian Texts: Commentary on Isaiah,InterVarsity Press,InterVarsity Press,2013,Eusebius of Caesarea,978-0-8308-2913-2,,Religion & Theology - Christianity,"A first-ever English translation of Eusebius's Commentary on Isaiah. Expertly rendered with notes and an introduction by Jonathan Armstrong, this volume exposes contemporary readers to the earliest Christian commentary on the prophecy of Isaiah.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8129,8129
Ancient Christian Texts: Commentary on Jeremiah,InterVarsity Press,InterVarsity Press,2012,Jerome,978-0-8308-2910-1,,Religion & Theology - Christianity,"A first-ever English translation of Jerome's Commentary on Jeremiah. Expertly rendered with notes and an introduction by Michael Graves, this commentary by one of the great doctors of the Latin church provides a rare look at how the ancients handled the prophetic literature.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8130,8130
Ancient Christian Texts: Commentary on John: Volume 1,InterVarsity Press,InterVarsity Press,2013,Cyril of Alexandria,978-0-8308-2911-8,,Religion & Theology - Christianity,"David Maxwell renders a service to students of patristics and New Testament studies alike. The first complete English translation of Cyril of Alexandria's Commentary on John since the nineteenth century, this volume unveils one of the brightest lights in the Alexandrian tradition.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8131,8131
Ancient Christian Texts: Commentary on John: Volume 2,InterVarsity Press,InterVarsity Press,2015,"Editor: Elowsky, Joel C.",978-0-8308-2912-5,,Religion & Theology - Christianity,"In the latest addition to the Ancient Christian Texts series, David Maxwell renders a service to students of patristics and New Testament studies alike. The first complete English translation of Cyril of Alexandria's Commentary on John since the nineteenth century, this volume unveils one of the brightest lights in the Alexandrian tradition.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11497,11497
Ancient Christian Texts: Commentary on the Gospel of John,InterVarsity Press,InterVarsity Press,2010,Theodore of Mopsuestia,978-0-8308-2906-4,,Religion & Theology - Christianity,"Theodore of Mopsuestia serves as one of the most important exemplars of Antiochene exegesis of his generation.While charges of heterodoxy against Theodore may not be entirely justified, there remains an apparent dualism in his Christology that should be critically viewed in light of the later Chalcedonian formula. With this caution, there still remains much that is valuable for contemporary readers, whether preachers, students or lay people interested in the early churchs understanding of the Gospel of John. Here for the first time is a complete English translation of this valuable work, ably translated by Marco Conti and edited by Joel C. Elowsky.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/8132,8132
Dictionary for Theological Interpretation of the Bible,Baker Publishing Group,Baker Publishing Group,2005,"Vanhoozer, Kevin J.",978-0-80-102694-2,"RCL Recipient, Christianity Today 2006 Book Award Winner; Catholic Press Association 2006 Book Award Winner; ECPA 2006 Christian Book of the Year Award Winner",Religion & Theology - Christianity,The Dictionary for Theological Interpretation of the Bible is a groundbreaking reference tool that seeks first of all to marry the tasks of exegesis and theology with the goal of theological interpretation of Scripture.,$60 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7368,7368
Dictionary of Bible Themes,Manser,Manser,1997,"Manser, Martin H.",978-0-31-020668-2,,Religion & Theology - Christianity,"The Dictionary of Bible Themes contains over 2,000 thematic articles with an explanation of the theme, key Bible references, and cross-references to related themes.",$282 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10462,10462
Dictionary of Biblical Imagery,InterVarsity Press,InterVarsity Press,2010,"Editors: Ryken, Leland, Wilhoit, James C. and Longman, Tremper III",978-0-8308-1451-0,,Religion & Theology - Christianity,"The Dictionary of Biblical Imagery is the first contemporary reference work dedicated to exploring the images, symbols, motifs, metaphors and literary patterns found in the Bible. More than that, it examines the Bible's universal archetypes or master images--including the plot motifs and character types that recur throughout life, literature and the Bible.",$83 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/12205,12205
The IVP Bible Dictionary Series: Dictionary of Jesus and the Gospels,InterVarsity Press,InterVarsity Press,2013,"Editor: Green, Joel B.",978-0-8308-2456-4,"2014 ECPA Christian Book Award Winner; OAT winner, RCL Recipient; Preaching's Preacher's Guide to the Best Bible Reference",Religion & Theology - Christianity,"This volume bridges the gap between scholars and those pastors, teachers, students and interested readers who want thorough treatments of key topics in an accessible and summary format. Articles cover each Gospel, major themes in the Gospels, key episodes in the life of Jesus, significant background topics, as well as issues and methods of interpretation.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10470,10470
Dictionary of Luther and the Lutheran Traditions,Baker Publishing Group,Baker Publishing Group,2017,"Editor: Wengert, Timothy J., Granquist, Mark A. and Haemig, Mary Jane",978-0-80-104969-9,,Religion & Theology - Christianity,"This dictionary provides a comprehensive overview of Luther's life and work and the traditions emanating from the Wittenberg Reformation. It traces the history, theology, and practices of the global Lutheran movement, covering significant figures, events, theological writings and ideas, denominational subgroups, and congregational practices that have constituted the Lutheran tradition from the Reformation to today.",$60 ,TRUE,Live,2018 Q1,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/11929,11929
The IVP Bible Dictionary Series: Dictionary of New Testament Background,InterVarsity Press,InterVarsity Press,2000,"Editors: Evans, Craig A. and Porter, Stanley E.",978-0-8308-1780-1,"2001 ECPA Gold Medallion, RCL Recipient",Religion & Theology - Christianity,"The Dictionary of New Testament Background takes full advantage of the flourishing study of the Dead Sea Scrolls and offers individual articles focused on the most important scrolls. In addition, the Dictionary encompasses the fullness of second-temple Jewish writings, whether pseudepigraphic, rabbinic, parables, proverbs, histories or inscriptions.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10471,10471
The IVP Bible Dictionary Series: Dictionary of Paul and His Letters,InterVarsity Press,InterVarsity Press,1995,"Editors: Hawthorne, Gerald F., Martin, Ralph P. and Reid, Daniel G.",978-0-8308-1778-8,1994 ECPA Gold Medallion,Religion & Theology - Christianity,"No other single reference work presents as much information focused exclusively on Pauline theology, literature, background and scholarship. In a field that recently has undergone significant shifts in perspective, the Dictionary of Paul and His Letters offers a summa of Paul and Pauline studies.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10473,10473
Dictionary of Scripture and Ethics,Baker Publishing Group,Baker Publishing Group,2011,"Green, Joel B., Lapsley, Jacqueline E. and Miles, Rebekah, et.al.",978-0-80-103406-0,"2012 Reference Book of the Year Award, Academy of Parish Clergy",Religion & Theology - Christianity,"This one-stop reference book on the vital relationship between Scripture and ethics offers helpful orientation and perspective for students, pastors, and scholars.",$60 ,TRUE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/7367,7367
The IVP Bible Dictionary Series: Dictionary of the Later New Testament and Its Development,InterVarsity Press,InterVarsity Press,1998,"Editors: Martin, Ralph P. and Davids, Peter H.",978-0-8308-1779-5,1998 ECPA Gold Medallion,Religion & Theology - Christianity,"The Dictionary of the Later New Testament & Its Developments offers a summa of New Testament studies. Designed to bring students, teachers, pastors and general readers up to date and up to speed, this one-of-a-kind reference volume presents more information than any other single work--dealing exclusively with the theology, literature, background and scholarship of the later New Testament and the apostolic church.",$90 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/10472,10472
Lives of Great Religious Books: Dietrich Bonhoeffer's Letters and Papers from Prison: A Biography,Princeton University Press,Princeton University Press,2011,"Marty, Martin E.",978-0-691-13921-0,RCL recipient,Religion & Theology - Christianity,"For fascination, influence, inspiration, and controversy, Dietrich Bonhoeffer's Letters and Papers from Prison is unmatched by any other book of Christian reflection written in the twentieth century.",$70 ,FALSE,Live,,No Restrictions,No Restrictions,corp.credoreference.com/component/booktracker/edition/4117,4117
